artist_uri,track_uri,track_name,track_pop,track_album,release_date,track_duration_ms,track_key,track_bpm,track_dance,track_energy,track_valence,track_loudness,track_speechiness,track_acousticness,track_instrumentalness,artist_name,artist_pop,artist_genres,followers,artist_image,ranking,region,acquisition_date
spotify:artist:0PCCGZ0wGLizHt2KZ7hhA2,spotify:track:2GxrNKugF82CnoRFbQfzPf,i like the way you kiss me,99,i like the way you kiss me,2024-03-19,142515,11,151.647,0.599,0.946,0.747,-4.263,0.0447,0.000938,0.0106,Artemas,83,[],482537,https://i.scdn.co/image/ab6761610000e5eb597f1c8c92c4a82734e3af43,1,Global,2024-04-19
spotify:artist:7CvTknweLr9feJtRGrpDBy,spotify:track:6XjDF6nds4DE2BBbagZol6,Gata Only,97,Gata Only,2024-02-02,222000,8,99.986,0.791,0.499,0.669,-8.472,0.0509,0.446,2.41e-05,FloyyMenor,80,['reggaeton chileno'],250123,https://i.scdn.co/image/ab6761610000e5ebe71d044ceb32abb28fbffcb6,2,Global,2024-04-19
spotify:artist:2FXC3k01G6Gw61bmprjgqS,spotify:track:0AjmK0Eai4zGrLaJwPvrDp,Too Sweet,88,Unreal Unearth: Unheard,2024-03-22,251424,10,117.038,0.741,0.62,0.934,-5.505,0.0412,0.0295,0.000809,Hozier,87,"['irish singer-songwriter', 'modern rock', 'pov: indie']",6849194,https://i.scdn.co/image/ab6761610000e5ebad85a585103dfc2f3439119a,3,Global,2024-04-19
spotify:artist:5p9HO3XC5P3BLxJs5Mtrhm,spotify:track:3qhlB30KknSejmIvZZLjOD,End of Beginning,99,DECIDE,2022-09-16,159246,2,159.982,0.689,0.454,0.912,-7.643,0.0584,0.0351,0.00259,Djo,82,"['pov: indie', 'psychedelic pop']",1239931,https://i.scdn.co/image/ab6761610000e5eb02fcc327683d53bea9583c69,4,Global,2024-04-19
spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,spotify:track:51ZQ1vr10ffzbwIjDCwqm4,we can't be friends (wait for your love),96,eternal sunshine,2024-03-08,228639,5,115.83,0.645,0.663,0.287,-8.305,0.0447,0.0657,3.18e-05,Ariana Grande,94,['pop'],95880478,https://i.scdn.co/image/ab6761610000e5eb40b5c07ab77b6b1a9075fdc0,5,Global,2024-04-19
spotify:artist:22wbnEMDvgVIAGdFeek6ET,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,85,Fireworks & Rollerblades,2024-04-05,180304,10,105.029,0.472,0.471,0.219,-5.692,0.0603,0.151,0,Benson Boone,87,['singer-songwriter pop'],2206770,https://i.scdn.co/image/ab6761610000e5ebb2ce21a89c09c00d80d8ca25,6,Global,2024-04-19
spotify:artist:74KM79TiuVKeVCqs8QtB0B,spotify:track:2qSkIjg1o9h3YT9RAgYN75,Espresso,88,Espresso,2024-04-12,175459,0,103.982,0.701,0.771,0.661,-5.486,0.0293,0.133,1.17e-05,Sabrina Carpenter,83,['pop'],7867783,https://i.scdn.co/image/ab6761610000e5ebaead9d4bfd812d0d267b2991,7,Global,2024-04-19
spotify:artist:45dkTj5sMRSjrmBSBeiHym,spotify:track:3rUGC1vUpkDG9CZFHMur1t,greedy,97,greedy,2023-09-15,131872,6,111.018,0.75,0.733,0.844,-3.18,0.0319,0.256,0,Tate McRae,85,['pop'],5155323,https://i.scdn.co/image/ab6761610000e5eb846308bf9bf7d3183958b3a6,8,Global,2024-04-19
spotify:artist:33qOK5uJ8AR2xuQQAhHump,spotify:track:17phhZDn6oGtzMe56NuWvj,Lose Control,94,I've Tried Everything But Therapy (Part 1),2023-09-15,210689,9,159.92,0.561,0.604,0.242,-4.409,0.0337,0.199,1.9e-05,Teddy Swims,83,[],1830814,https://i.scdn.co/image/ab6761610000e5ebf76e11a5f3c08955fecea690,9,Global,2024-04-19
spotify:artist:1RyvyyTE3xzB2ZywiAwp0i,spotify:track:2tudvzsrR56uom6smgOcSf,Like That,96,WE DON'T TRUST YOU,2024-03-22,267707,11,162.012,0.814,0.676,0.312,-4.67,0.231,0.00709,1.28e-05,Future,94,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",16640009,https://i.scdn.co/image/ab6761610000e5eb6ef89e23678018c6d8630825,10,Global,2024-04-19
spotify:artist:36cgvBn0aadzOijnjjwqMN,spotify:track:1aKvZDoLGkNMxoRYgkckZG,Magnetic,93,SUPER REAL ME,2024-03-25,160688,6,131.067,0.797,0.668,0.69,-5.819,0.0687,0.257,0,ILLIT,77,[],554225,https://i.scdn.co/image/ab6761610000e5eb5884b5e3bdc71d42b62bfcfd,11,Global,2024-04-19
spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)",93,The Idol Episode 4 (Music from the HBO Original Series),2023-06-23,244685,8,87.51,0.522,0.641,0.202,-6.287,0.0318,0.0545,0,The Weeknd,95,"['canadian contemporary r&b', 'canadian pop', 'pop']",82013048,https://i.scdn.co/image/ab6761610000e5eb214f3cf1cbe7139c1e26ffbb,12,Global,2024-04-19
spotify:artist:06HL4z0CvFAxyc27GXpf02,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,97,Lover,2019-08-23,178427,9,169.994,0.552,0.702,0.564,-5.707,0.157,0.117,2.06e-05,Taylor Swift,100,['pop'],107558119,https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676,13,Global,2024-04-19
spotify:artist:2RQXRUsr4IW1f3mKyKsy4B,spotify:track:0mflMxspEfB0VbI1kyLiAv,Stick Season,95,Stick Season,2022-10-14,182347,9,117.913,0.662,0.488,0.817,-6.894,0.0682,0.782,0,Noah Kahan,87,['pov: indie'],2637347,https://i.scdn.co/image/ab6761610000e5eb336ec53126239813d38ff588,14,Global,2024-04-19
spotify:artist:7tYKF4w9nC0nq9CsPZTHyP,spotify:track:1bjeWoagtHmUKputLVyDxQ,Saturn,93,Saturn,2024-02-22,186192,1,177.937,0.411,0.619,0.337,-6.834,0.0368,0.62,0,SZA,91,"['pop', 'r&b', 'rap']",19131822,https://i.scdn.co/image/ab6761610000e5eb0895066d172e1f51f520bc65,15,Global,2024-04-19
spotify:artist:2LRoIwlKmHjgvigdNGBHNo,spotify:track:7bywjHOc0wSjGGbj04XbVi,LUNA,94,FERXXOCALIPSIS,2023-12-01,196800,7,100.019,0.774,0.86,0.446,-2.888,0.13,0.131,0,Feid,92,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",10729628,https://i.scdn.co/image/ab6761610000e5eb9e7c05016af970bb9bf76cc1,16,Global,2024-04-19
spotify:artist:4xPQFgDA5M2xa0ZGo5iIsv,spotify:track:3w0w2T288dec0mgeZZqoNN,CARNIVAL,96,VULTURES 1,2024-02-09,264324,1,148.144,0.594,0.811,0.311,-5.746,0.159,0.189,0,¥$,84,[],549517,https://i.scdn.co/image/ab6761610000e5ebf4e11052613eb67c380adaf8,17,Global,2024-04-19
spotify:artist:6vWDO969PvNqNYHIOW5v0m,spotify:track:7wLShogStyDeZvL0a6daN5,TEXAS HOLD 'EM,87,COWBOY CARTER,2024-03-29,233457,2,110.012,0.727,0.711,0.375,-6.549,0.078,0.582,0,Beyoncé,92,"['pop', 'r&b']",37125890,https://i.scdn.co/image/ab6761610000e5eb247f44069c0bd1781df2f785,18,Global,2024-04-19
spotify:artist:4OVbrPbhvK46A1uXTU1u5F,spotify:track:3lMzT16MjAKKXF7pSZn13B,Tell Ur Girlfriend,84,Tell Ur Girlfriend,2024-02-07,124444,7,135.07,0.866,0.741,0.614,-4.66,0.245,0.0933,0,Lay Bankz,70,['jersey club'],261615,https://i.scdn.co/image/ab6761610000e5eb07942dc3dd27e45db144ba76,19,Global,2024-04-19
spotify:artist:7Ez6lTtSMjMf2YSYpukP1I,spotify:track:2uqYupMHANxnwgeiXTZXzd,Austin,90,What Happens Now?,2024-02-16,171783,0,114.935,0.756,0.672,0.739,-6.743,0.0522,0.464,3.37e-06,Dasha,74,['alt z'],103109,https://i.scdn.co/image/ab6761610000e5eb028d65354505e72e2cf86077,20,Global,2024-04-19
