artist_uri,track_uri,track_name,track_pop,track_album,release_date,track_duration_ms,track_key,track_bpm,track_dance,track_energy,track_valence,track_loudness,track_speechiness,track_acousticness,track_instrumentalness,artist_name,artist_pop,artist_genres,followers,artist_image,ranking,region,acquisition_date
spotify:artist:22wbnEMDvgVIAGdFeek6ET,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,59,Fireworks & Rollerblades,2024-04-05,180304,10,105.029,0.472,0.471,0.219,-5.692,0.0603,0.151,0,Benson Boone,86,['singer-songwriter pop'],2034997,https://i.scdn.co/image/ab6761610000e5ebb2ce21a89c09c00d80d8ca25,1,Global,2024-04-07
spotify:artist:0PCCGZ0wGLizHt2KZ7hhA2,spotify:track:2GxrNKugF82CnoRFbQfzPf,i like the way you kiss me,94,i like the way you kiss me,2024-03-19,142515,11,151.647,0.599,0.946,0.747,-4.263,0.0447,0.000938,0.0106,Artemas,80,[],381052,https://i.scdn.co/image/ab6761610000e5eb597f1c8c92c4a82734e3af43,2,Global,2024-04-07
spotify:artist:2FXC3k01G6Gw61bmprjgqS,spotify:track:0AjmK0Eai4zGrLaJwPvrDp,Too Sweet,80,Unreal Unearth: Unheard,2024-03-22,251424,10,117.038,0.741,0.62,0.934,-5.505,0.0412,0.0295,0.000809,Hozier,86,"['irish singer-songwriter', 'modern rock', 'pov: indie']",6739633,https://i.scdn.co/image/ab6761610000e5ebad85a585103dfc2f3439119a,3,Global,2024-04-07
spotify:artist:5p9HO3XC5P3BLxJs5Mtrhm,spotify:track:3qhlB30KknSejmIvZZLjOD,End of Beginning,98,DECIDE,2022-09-16,159246,2,159.982,0.689,0.454,0.912,-7.643,0.0584,0.0351,0.00259,Djo,81,"['pov: indie', 'psychedelic pop']",1183186,https://i.scdn.co/image/ab6761610000e5eb02fcc327683d53bea9583c69,4,Global,2024-04-07
spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,spotify:track:51ZQ1vr10ffzbwIjDCwqm4,we can't be friends (wait for your love),94,eternal sunshine,2024-03-08,228639,5,115.83,0.645,0.663,0.287,-8.305,0.0447,0.0657,3.18e-05,Ariana Grande,95,['pop'],95606111,https://i.scdn.co/image/ab6761610000e5eb40b5c07ab77b6b1a9075fdc0,5,Global,2024-04-07
spotify:artist:7CvTknweLr9feJtRGrpDBy,spotify:track:6XjDF6nds4DE2BBbagZol6,Gata Only,94,Gata Only,2024-02-02,222000,8,99.986,0.791,0.499,0.669,-8.472,0.0509,0.446,2.41e-05,FloyyMenor,78,['reggaeton chileno'],226853,https://i.scdn.co/image/ab6761610000e5eb46ea71e37507679bd8f8c659,6,Global,2024-04-07
spotify:artist:1RyvyyTE3xzB2ZywiAwp0i,spotify:track:2tudvzsrR56uom6smgOcSf,Like That,94,WE DON'T TRUST YOU,2024-03-22,267707,11,162.012,0.814,0.676,0.312,-4.67,0.231,0.00709,1.28e-05,Future,93,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",16472586,https://i.scdn.co/image/ab6761610000e5eb6ef89e23678018c6d8630825,7,Global,2024-04-07
spotify:artist:45dkTj5sMRSjrmBSBeiHym,spotify:track:3rUGC1vUpkDG9CZFHMur1t,greedy,96,greedy,2023-09-15,131872,6,111.018,0.75,0.733,0.844,-3.18,0.0319,0.256,0,Tate McRae,85,['pop'],5097969,https://i.scdn.co/image/ab6761610000e5eb846308bf9bf7d3183958b3a6,8,Global,2024-04-07
spotify:artist:6vWDO969PvNqNYHIOW5v0m,spotify:track:7wLShogStyDeZvL0a6daN5,TEXAS HOLD 'EM,84,COWBOY CARTER,2024-03-29,233457,2,110.012,0.727,0.711,0.375,-6.549,0.078,0.582,0,Beyoncé,92,"['pop', 'r&b']",36988516,https://i.scdn.co/image/ab6761610000e5eb247f44069c0bd1781df2f785,9,Global,2024-04-07
spotify:artist:33qOK5uJ8AR2xuQQAhHump,spotify:track:17phhZDn6oGtzMe56NuWvj,Lose Control,93,I've Tried Everything But Therapy (Part 1),2023-09-15,210689,9,159.92,0.561,0.604,0.242,-4.409,0.0337,0.199,1.9e-05,Teddy Swims,82,[],1759128,https://i.scdn.co/image/ab6761610000e5ebf76e11a5f3c08955fecea690,10,Global,2024-04-07
