artist_uri,track_uri,track_name,track_pop,track_album,release_date,track_duration_ms,track_key,track_bpm,track_dance,track_energy,track_valence,track_loudness,track_speechiness,track_acousticness,track_instrumentalness,artist_name,artist_pop,artist_genres,followers,artist_image,ranking,region,acquisition_date
spotify:artist:4ptGOXi053ILmLfMcIG2hB,spotify:track:5GV7OpSEb8MPTryL0Q5i6c,Mtg Quero Te Encontrar,84,Mtg Quero Te Encontrar,2024-02-23,171755,11,86.095,0.733,0.588,0.376,-0.161,0.175,0.593,3.66e-05,DJ JZ,65,[],18756,https://i.scdn.co/image/ab6761610000e5eb08c9f58bf8f38e3285fedcb4,1,Brasil,2024-04-20
spotify:artist:7gZu6kPnY9enEi5FvgTO4F,spotify:track:1cIS13bqNfZcTs8LSK8r0a,Gosta De Rua - Ao Vivo,78,Questão de Tempo (Ao Vivo / Vol.2),2024-03-29,171335,3,106.064,0.675,0.893,0.607,-5.164,0.141,0.548,0,Felipe e Rodrigo,65,"['sertanejo', 'sertanejo pop']",74108,https://i.scdn.co/image/ab6761610000e5eba525432ee8e4eae0bc16fa5e,2,Brasil,2024-04-20
spotify:artist:5kVgcCdPbeUwxBqWxi2Ktl,spotify:track:6P1mkNAmgihFwFRBhpaev3,ENTRA NA DEFENDER,82,ENTRA NA DEFENDER,2024-03-21,174727,1,130.0,0.749,0.44,0.301,-8.747,0.269,0.0667,0,Luan Pereira,77,['agronejo'],1840376,https://i.scdn.co/image/ab6761610000e5ebd4b0fbf97b9756052c67618a,3,Brasil,2024-04-20
spotify:artist:06HL4z0CvFAxyc27GXpf02,spotify:track:2OzhQlSqBEmt7hmkYxfT6m,Fortnight (feat. Post Malone),0,THE TORTURED POETS DEPARTMENT,2024-04-18,228965,11,95.988,0.675,0.397,0.319,-10.895,0.0245,0.499,5.85e-06,Taylor Swift,100,['pop'],107849786,https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676,4,Brasil,2024-04-20
spotify:artist:1elUiq4X7pxej6FRlrEzjM,spotify:track:6X6jKoyw1OjogRghMEQAZV,Haverá Sinais - Ao Vivo,85,Haverá Sinais (Ao Vivo),2024-02-14,190272,8,110.0,0.747,0.8,0.718,-4.22,0.0328,0.132,0,Jorge & Mateus,80,"['agronejo', 'arrocha', 'sertanejo', 'sertanejo universitario']",18826215,https://i.scdn.co/image/ab6761610000e5eb242a8ef8cfdde955f7067581,5,Brasil,2024-04-20
spotify:artist:0kj68SnX4WCXwveyBbRX8p,spotify:track:3hfCle1QRfbwIpQ1B746lV,Aquariano Nato,85,Funktroit,2023-07-25,116308,0,80.599,0.664,0.704,0.744,0.005,0.349,0.778,0.00105,MC Saci,76,"['funk bh', 'funk mtg']",259208,https://i.scdn.co/image/ab6761610000e5ebd75a6b5015cb2d469386a8a1,6,Brasil,2024-04-20
spotify:artist:0NB5wv4kn6A919CLHUKRmk,spotify:track:027ielmg4mNR1p1Ds3Mvgh,Não Vou Namorar,79,Não Vou Namorar,2024-01-19,162461,5,85.899,0.761,0.724,0.514,-0.681,0.325,0.818,9.45e-05,DJ Ws da Igrejinha,70,"['funk bh', 'funk mtg']",378243,https://i.scdn.co/image/ab6761610000e5eb286d489fca27dc89a8281348,7,Brasil,2024-04-20
spotify:artist:2q9wk5fkeU2C9CgCKdh4AN,spotify:track:7pnqm6UEb7SzpDxb53wULT,Diz Aí Qual é o Plano?,75,Todo Mundo Odeia o IG,2024-03-21,703158,4,72.308,0.59,0.581,0.58,-3.614,0.495,0.348,0,Mc IG,82,"['funk carioca', 'funk consciente', 'funk mtg', 'funk paulista']",3464005,https://i.scdn.co/image/ab6761610000e5eb720c2b2700ba4da0d6bbecfa,8,Brasil,2024-04-20
spotify:artist:2eK9gcJQ6uqVvJL63dnOM3,spotify:track:6cFW2FPaUL4YRJfS9zFJaV,Dois Tristes - Ao Vivo,66,Simone Mendes - Só Hits,2024-04-04,189441,3,180.22,0.421,0.813,0.559,-2.927,0.0574,0.313,0,Simone Mendes,77,"['sertanejo', 'sertanejo universitario']",1305092,https://i.scdn.co/image/ab6761610000e5eb0aeab894a183255edfc84057,9,Brasil,2024-04-20
spotify:artist:06HL4z0CvFAxyc27GXpf02,spotify:track:3NMrVbIVWT3fPXBj0rNDKG,The Tortured Poets Department,0,THE TORTURED POETS DEPARTMENT,2024-04-18,293048,0,110.305,0.595,0.421,0.261,-8.377,0.0261,0.0518,1.56e-06,Taylor Swift,100,['pop'],107849786,https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676,10,Brasil,2024-04-20
