artist_uri,track_uri,track_name,track_pop,track_album,release_date,track_duration_ms,track_key,track_bpm,track_dance,track_energy,track_valence,track_loudness,track_speechiness,track_acousticness,track_instrumentalness,artist_name,artist_pop,artist_genres,followers,artist_image,ranking,region,acquisition_date
spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,spotify:track:4m4BHvDfzIgj5LbQLuFiIp,CARNIVAL,90,VULTURES 1,2024-02-09,264324,1,148.241,0.596,0.81,0.29,-5.745,0.152,0.192,0,Kanye West,94,"['chicago rap', 'hip hop', 'rap']",23632990,https://i.scdn.co/image/ab6761610000e5eb867008a971fae0f4d913f63a,1,USA,2024-02-15
spotify:artist:6vWDO969PvNqNYHIOW5v0m,spotify:track:0Z7nGFVCLfixWctgePsRk9,TEXAS HOLD 'EM,85,TEXAS HOLD 'EM,2024-02-11,235636,2,110.024,0.725,0.709,0.353,-6.514,0.072,0.588,0,Beyoncé,85,"['pop', 'r&b']",36228641,https://i.scdn.co/image/ab6761610000e5eb2b7962ada66cbea99dcb0caa,2,USA,2024-02-15
spotify:artist:22wbnEMDvgVIAGdFeek6ET,spotify:track:6tNQ70jh4OwmPGpYy6R2o9,Beautiful Things,97,Beautiful Things,2024-01-18,180304,10,105.029,0.472,0.471,0.219,-5.692,0.0603,0.151,0,Benson Boone,79,['singer-songwriter pop'],1344408,https://i.scdn.co/image/ab6761610000e5ebb2ce21a89c09c00d80d8ca25,3,USA,2024-02-15
spotify:artist:2RQXRUsr4IW1f3mKyKsy4B,spotify:track:0mflMxspEfB0VbI1kyLiAv,Stick Season,98,Stick Season,2022-10-14,182347,9,117.913,0.662,0.488,0.817,-6.894,0.0682,0.782,0,Noah Kahan,87,['pov: indie'],2258710,https://i.scdn.co/image/ab6761610000e5eb336ec53126239813d38ff588,4,USA,2024-02-15
spotify:artist:1URnnhqYAYcrqrcwql10ft,spotify:track:52eIcoLUM25zbQupAZYoFh,redrum,97,american dream,2024-01-12,270698,2,172.089,0.624,0.74,0.246,-8.445,0.0481,0.00529,0.000224,21 Savage,92,"['atl hip hop', 'hip hop', 'rap']",17061538,https://i.scdn.co/image/ab6761610000e5eba5e754a9c1fc7ad7ee01798b,5,USA,2024-02-15
spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,spotify:track:4E3XDKil4ElJt6sXuz5cc6,BURN,87,VULTURES 1,2024-02-09,111458,4,105.017,0.594,0.885,0.735,-6.21,0.394,0.0158,6.29e-06,Kanye West,94,"['chicago rap', 'hip hop', 'rap']",23632990,https://i.scdn.co/image/ab6761610000e5eb867008a971fae0f4d913f63a,6,USA,2024-02-15
spotify:artist:40ZNYROS4zLfyyBSs2PGe2,spotify:track:4KULAymBBJcPRpk1yO4dOG,I Remember Everything (feat. Kacey Musgraves),94,Zach Bryan,2023-08-25,227196,0,77.639,0.429,0.453,0.155,-7.746,0.0459,0.554,2e-06,Zach Bryan,87,['classic oklahoma country'],3254088,https://i.scdn.co/image/ab6761610000e5eb4fd54df35bfcfa0fc9fc2da7,7,USA,2024-02-15
spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,spotify:track:5rlXuCLnMdfo85079qXHoz,FUK SUMN,88,VULTURES 1,2024-02-09,209577,4,142.092,0.775,0.817,0.463,-2.825,0.147,0.132,0,Kanye West,94,"['chicago rap', 'hip hop', 'rap']",23632990,https://i.scdn.co/image/ab6761610000e5eb867008a971fae0f4d913f63a,8,USA,2024-02-15
spotify:artist:2LIk90788K0zvyj2JJVwkJ,spotify:track:4xhsWYTOGcal8zt0J161CU,Lovin On Me,99,Lovin On Me,2023-11-10,138411,2,104.983,0.943,0.558,0.606,-4.911,0.0568,0.0026,2.19e-06,Jack Harlow,84,"['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']",3550498,https://i.scdn.co/image/ab6761610000e5eb2aab40ce03f3fa86163f78bb,9,USA,2024-02-15
spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,spotify:track:0Tgm7wkLb0AfAHAZDschvD,BACK TO ME,87,VULTURES 1,2024-02-09,295472,1,95.66,0.815,0.788,0.336,-7.216,0.0884,0.00104,0,Kanye West,94,"['chicago rap', 'hip hop', 'rap']",23632990,https://i.scdn.co/image/ab6761610000e5eb867008a971fae0f4d913f63a,10,USA,2024-02-15
