artist_uri,track_uri,track_name,track_pop,track_album,release_date,track_duration_ms,track_key,track_bpm,track_dance,track_energy,track_valence,track_loudness,track_speechiness,track_acousticness,track_instrumentalness,artist_name,artist_pop,artist_genres,followers,artist_image,ranking,region,acquisition_date
spotify:artist:4ptGOXi053ILmLfMcIG2hB,spotify:track:5GV7OpSEb8MPTryL0Q5i6c,Mtg Quero Te Encontrar,83,Mtg Quero Te Encontrar,2024-02-23,171755,11,86.095,0.733,0.588,0.376,-0.161,0.175,0.593,3.66e-05,DJ JZ,65,[],18887,https://i.scdn.co/image/ab6761610000e5eb08c9f58bf8f38e3285fedcb4,1,Brasil,2024-04-17
spotify:artist:7gZu6kPnY9enEi5FvgTO4F,spotify:track:0rrEBDSmUmMEPphR9vVxkq,Gosta De Rua - Ao Vivo,5,Felipe e Rodrigo - Já Que Cê Gosta Tanto de Rua,2024-04-16,171335,3,106.064,0.675,0.893,0.607,-5.164,0.141,0.548,0,Felipe e Rodrigo,64,"['sertanejo', 'sertanejo pop']",72518,https://i.scdn.co/image/ab6761610000e5eba525432ee8e4eae0bc16fa5e,2,Brasil,2024-04-17
spotify:artist:0kj68SnX4WCXwveyBbRX8p,spotify:track:3hfCle1QRfbwIpQ1B746lV,Aquariano Nato,84,Funktroit,2023-07-25,116308,0,80.599,0.664,0.704,0.744,0.005,0.349,0.778,0.00105,MC Saci,76,"['funk bh', 'funk mtg']",255836,https://i.scdn.co/image/ab6761610000e5ebd75a6b5015cb2d469386a8a1,3,Brasil,2024-04-17
spotify:artist:5kVgcCdPbeUwxBqWxi2Ktl,spotify:track:6P1mkNAmgihFwFRBhpaev3,ENTRA NA DEFENDER,81,ENTRA NA DEFENDER,2024-03-21,174727,1,130.0,0.749,0.44,0.301,-8.747,0.269,0.0667,0,Luan Pereira,77,['agronejo'],1829631,https://i.scdn.co/image/ab6761610000e5ebd4b0fbf97b9756052c67618a,4,Brasil,2024-04-17
spotify:artist:2q9wk5fkeU2C9CgCKdh4AN,spotify:track:7pnqm6UEb7SzpDxb53wULT,Diz Aí Qual é o Plano?,75,Todo Mundo Odeia o IG,2024-03-21,703158,4,72.308,0.59,0.581,0.58,-3.614,0.495,0.348,0,Mc IG,82,"['funk carioca', 'funk consciente', 'funk mtg', 'funk paulista']",3416293,https://i.scdn.co/image/ab6761610000e5eb720c2b2700ba4da0d6bbecfa,5,Brasil,2024-04-17
spotify:artist:1elUiq4X7pxej6FRlrEzjM,spotify:track:6X6jKoyw1OjogRghMEQAZV,Haverá Sinais - Ao Vivo,84,Haverá Sinais (Ao Vivo),2024-02-14,190272,8,110.0,0.747,0.8,0.718,-4.22,0.0328,0.132,0,Jorge & Mateus,80,"['agronejo', 'arrocha', 'sertanejo', 'sertanejo universitario']",18808130,https://i.scdn.co/image/ab6761610000e5eb242a8ef8cfdde955f7067581,6,Brasil,2024-04-17
spotify:artist:0NB5wv4kn6A919CLHUKRmk,spotify:track:027ielmg4mNR1p1Ds3Mvgh,Não Vou Namorar,77,Não Vou Namorar,2024-01-19,162461,5,85.899,0.761,0.724,0.514,-0.681,0.325,0.818,9.45e-05,DJ Ws da Igrejinha,70,"['funk bh', 'funk mtg']",373772,https://i.scdn.co/image/ab6761610000e5eb286d489fca27dc89a8281348,7,Brasil,2024-04-17
spotify:artist:3JcD2LnyvfEki9d7705GaY,spotify:track:6Gn8SHd3RIWjOermcidCJk,A Internet É Toxica,82,A Internet É Toxica,2023-08-29,161884,5,81.432,0.6,0.862,0.821,-0.684,0.404,0.597,0,Dj Lc,70,['funk mtg'],20643,https://i.scdn.co/image/ab6761610000e5eb08172f8113797749c7157a55,8,Brasil,2024-04-17
spotify:artist:0kj68SnX4WCXwveyBbRX8p,spotify:track:1jN0ysNJ2d9VZwVdlgspjr,De 10 Mulher 11 É Maluca,82,De 10 Mulher 11 É Maluca,2023-10-18,115384,1,122.094,0.675,0.565,0.802,-3.303,0.433,0.491,3.33e-05,MC Saci,76,"['funk bh', 'funk mtg']",255836,https://i.scdn.co/image/ab6761610000e5ebd75a6b5015cb2d469386a8a1,9,Brasil,2024-04-17
spotify:artist:487N2T9nIPEHrlTZLL3SQs,spotify:track:42JNab8NPeCADJ9D3Cl5wS,Barulho Do Foguete - Ao Vivo,84,"Escolhas, Vol. 2 (Ao Vivo)",2023-06-22,133547,4,79.994,0.646,0.871,0.624,-6.195,0.219,0.172,0,Zé Neto & Cristiano,78,"['agronejo', 'arrocha', 'sertanejo', 'sertanejo universitario']",18993509,https://i.scdn.co/image/ab6761610000e5ebd3332d80d4e5ea58423e50a9,10,Brasil,2024-04-17
